expnum seeing efftime survey_speed comment
1302992 1.4994072914123535 5.357020854949951 0.017856735736131668 "Automatically flagged"
1302993 1.5157586336135864 5.0312581062316895 0.01677086018025875 "Automatically flagged"
1302994 1.4832812547683716 11.783597946166992 0.03927865996956825 "Automatically flagged"
1302995 1.3698235750198364 20.64198875427246 0.06880662590265274 "Automatically flagged"
1302996 1.420685052871704 17.121583938598633 0.05707194656133652 "Automatically flagged"
1302997 1.4627658128738403 13.733182907104492 0.045777276158332825 "Automatically flagged"
1302998 1.4931694269180298 13.504018783569336 0.045013394206762314 "Automatically flagged"
1302999 1.3087958097457886 14.77464485168457 0.04924881458282471 "Automatically flagged"
1303000 1.5300997495651245 12.073525428771973 0.04024508595466614 "Automatically flagged"
1303001 1.6332563161849976 16.08119773864746 0.053603991866111755 "Automatically flagged"
1303002 1.4044361114501953 30.40858268737793 0.101361945271492 "Automatically flagged"
1303003 1.4262641668319702 14.326530456542969 0.04775509983301163 "Automatically flagged"
1303004 1.2836107015609741 16.465808868408203 0.05488602817058563 "Automatically flagged"
1303005 1.2963061332702637 16.935482025146484 0.05645160749554634 "Automatically flagged"
1303006 1.4057128429412842 16.11602783203125 0.05372009426355362 "Automatically flagged"
1303007 1.5960025787353516 15.766441345214844 0.05255480483174324 "Automatically flagged"
1303008 1.4164255857467651 13.669053077697754 0.04556351155042648 "Automatically flagged"
1303009 1.3995373249053955 10.64714241027832 0.035490475594997406 "Automatically flagged"
1303010 1.3684080839157104 7.519711017608643 0.025065703317523003 "Automatically flagged"
1303011 1.4428260326385498 7.003788471221924 0.023345962166786194 "Automatically flagged"
1303012 1.3463279008865356 6.794541358947754 0.022648470476269722 "Automatically flagged"
1303013 1.4006747007369995 11.922037124633789 0.039740122854709625 "Automatically flagged"
1303014 1.3157594203948975 13.768990516662598 0.045896634459495544 "Automatically flagged"
1303138 1.2893630266189575 6.74406623840332 0.12042975425720215 "Automatically flagged"
1303140 1.2476884126663208 23.383676528930664 0.41756564378738403 "Automatically flagged"
1303141 1.268061876296997 24.53618049621582 0.43814608454704285 "Automatically flagged"
1303142 1.1972564458847046 30.2930908203125 0.5409480333328247 "Automatically flagged"
1303143 1.2833843231201172 26.76531410217285 0.4779520332813263 "Automatically flagged"
1303144 1.2977895736694336 28.30703353881836 0.5054827332496643 "Automatically flagged"
1303145 1.2504050731658936 31.093809127807617 0.5552465915679932 "Automatically flagged"
1303146 1.145456314086914 38.87010192871094 0.6941089630126953 "Automatically flagged"
1303163 1.5822200775146484 96.02224731445312 0.19204449653625488 "Automatically flagged"
1303196 1.8907655477523804 81.87207794189453 0.16374415159225464 "Automatically flagged"
1303223 1.8193193674087524 26.231143951416016 0.05246228724718094 "Automatically flagged"
1303224 1.5335404872894287 12.099464416503906 0.024198928847908974 "Automatically flagged"
1303822 3.7857871055603027 0.0 0.0 "Automatically flagged"
1303823 3.993194580078125 0.0 0.0 "Automatically flagged"
1303824 3.6594107151031494 0.0 0.0 "Automatically flagged"
1303825 3.9519476890563965 0.0 0.0 "Automatically flagged"
1303826 3.9947173595428467 0.0 0.0 "Automatically flagged"
1303827 3.938149929046631 0.0 0.0 "Automatically flagged"
1303828 3.8507800102233887 0.0 0.0 "Automatically flagged"
1303829 4.217036247253418 0.0 0.0 "Automatically flagged"
1303830 4.4952616691589355 0.0 0.0 "Automatically flagged"
1303831 4.650554180145264 0.0 0.0 "Automatically flagged"
1303832 5.064675331115723 0.0 0.0 "Automatically flagged"
1303833 4.333401203155518 0.0 0.0 "Automatically flagged"
1303834 4.617849349975586 0.0 0.0 "Automatically flagged"
1303835 4.755578994750977 0.0 0.0 "Automatically flagged"
1303836 4.167756080627441 0.0 0.0 "Automatically flagged"
1303837 3.9761621952056885 0.0 0.0 "Automatically flagged"
1303838 4.51753568649292 0.0 0.0 "Automatically flagged"
1303839 3.9617488384246826 0.0 0.0 "Automatically flagged"
1303840 4.192507743835449 0.0 0.0 "Automatically flagged"
1307398 2.7240962982177734 0.0 0.0 "Automatically flagged"
1308247 2.1664023399353027 110.68147277832031 0.22136294841766357 "Automatically flagged"
1308248 2.0902328491210938 111.38480377197266 0.2227696031332016 "Automatically flagged"
1308250 2.00378155708313 125.98591613769531 0.2519718408584595 "Automatically flagged"
1308251 2.0949716567993164 75.07212829589844 0.15014424920082092 "Automatically flagged"
1308252 2.215157985687256 31.13249397277832 0.06226498633623123 "Automatically flagged"
1308267 2.0756278038024902 113.17375946044922 0.29319626092910767 "Automatically flagged"
1308271 1.6879630088806152 85.50920104980469 0.17101840674877167 "Automatically flagged"
1308278 2.08184814453125 103.82079315185547 0.2076415866613388 "Automatically flagged"
1308279 2.309615135192871 60.903404235839844 0.1218068078160286 "Automatically flagged"
1308281 2.2298226356506348 94.55619812011719 0.18911239504814148 "Automatically flagged"
1308287 2.5306224822998047 20.491252899169922 0.040982507169246674 "Automatically flagged"
1308288 2.1822311878204346 67.98054504394531 0.13596108555793762 "Automatically flagged"
1308289 2.5332186222076416 45.70581817626953 0.09141163527965546 "Automatically flagged"
1308290 2.393766403198242 63.15968322753906 0.12631936371326447 "Automatically flagged"
1308291 2.469648838043213 64.0547103881836 0.1281094253063202 "Automatically flagged"
1308292 1.936954379081726 92.9510726928711 0.18590214848518372 "Automatically flagged"
1308293 2.096071243286133 95.49707794189453 0.19099415838718414 "Automatically flagged"
1308298 1.6917884349822998 83.88217163085938 0.1677643358707428 "Automatically flagged"
1308421 1.749629020690918 39.944976806640625 0.07988995313644409 "Automatically flagged"
1308422 1.9407947063446045 43.42668151855469 0.08685336261987686 "Automatically flagged"
1308423 1.8248711824417114 67.42491149902344 0.13484981656074524 "Automatically flagged"
1308424 1.7209385633468628 62.3879508972168 0.12477590143680573 "Automatically flagged"
1308425 1.814339280128479 63.22111129760742 0.12644222378730774 "Automatically flagged"
