id            ra              dec            ra(subaru)     dec(subaru)
W_010348     189.6595630       3.2000000     123838.295     +031200.00
W_010349     190.9586020       3.2000000     124350.064     +031200.00
W_010350     192.2576400       3.2000000     124901.834     +031200.00
W_010351     193.5566780       3.2000000     125413.603     +031200.00
W_010352     194.8557160       3.2000000     125925.372     +031200.00
W_010353     196.1547540       3.2000000     130437.141     +031200.00
W_010354     197.4537920       3.2000000     130948.910     +031200.00
W_010355     198.7528300       3.2000000     131500.679     +031200.00
W_010356     200.0518680       3.2000000     132012.448     +031200.00
W_010357     201.3509060       3.2000000     132524.217     +031200.00
W_010358     202.6499440       3.2000000     133035.987     +031200.00
W_010359     203.9489830       3.2000000     133547.756     +031200.00
W_010360     205.2480210       3.2000000     134059.525     +031200.00
W_010361     206.5470590       3.2000000     134611.294     +031200.00
W_010362     207.8460970       3.2000000     135123.063     +031200.00
W_010363     209.1451350       3.2000000     135634.832     +031200.00
W_010364     210.4441730       3.2000000     140146.602     +031200.00
W_010365     211.7432110       3.2000000     140658.371     +031200.00
W_010366     213.0422490       3.2000000     141210.140     +031200.00
W_010367     214.3412870       3.2000000     141721.909     +031200.00
W_010368     215.6403260       3.2000000     142233.678     +031200.00
W_010369     216.9393640       3.2000000     142745.447     +031200.00
W_010370     218.2384020       3.2000000     143257.216     +031200.00
W_010371     219.5374400       3.2000000     143808.986     +031200.00
W_010372     220.8364780       3.2000000     144320.755     +031200.00
W_010373     222.1355160       3.2000000     144832.524     +031200.00
W_010374     223.4345540       3.2000000     145344.293     +031200.00
W_010375     224.7335920       3.2000000     145856.062     +031200.00
W_010376     129.2540000       4.3250000     083700.960     +041930.00
W_010377     130.5530000       4.3250000     084212.720     +041930.00
W_010378     131.8520000       4.3250000     084724.480     +041930.00
W_010379     133.1510000       4.3250000     085236.240     +041930.00
W_010380     134.4500000       4.3250000     085748.000     +041930.00
W_010381     135.7490000       4.3250000     090259.760     +041930.00
W_010382     137.0490000       4.3250000     090811.760     +041930.00
W_010383     138.3480000       4.3250000     091323.520     +041930.00
W_010384     139.6470000       4.3250000     091835.280     +041930.00
W_010385     140.9460000       4.3250000     092347.040     +041930.00
W_010386     142.2450000       4.3250000     092858.800     +041930.00
W_010387     143.5437110       4.3250000     093410.491     +041930.00
W_010388     144.8427490       4.3250000     093922.260     +041930.00
W_010389     146.1417870       4.3250000     094434.029     +041930.00
W_010390     147.4408250       4.3250000     094945.798     +041930.00
W_010391     148.7398630       4.3250000     095457.567     +041930.00
W_010392     150.0389010       4.3250000     100009.336     +041930.00
W_010393     151.3379390       4.3250000     100521.105     +041930.00
W_010394     152.6369770       4.3250000     101032.874     +041930.00
W_010395     153.9360160       4.3250000     101544.644     +041930.00
W_010396     155.2350540       4.3250000     102056.413     +041930.00
W_010397     156.5340920       4.3250000     102608.182     +041930.00
W_010398     157.8331300       4.3250000     103119.951     +041930.00
W_010399     159.1321680       4.3250000     103631.720     +041930.00
W_010400     160.4312060       4.3250000     104143.489     +041930.00
W_010401     161.7302440       4.3250000     104655.259     +041930.00
W_010402     163.0292820       4.3250000     105207.028     +041930.00
W_010403     164.3283200       4.3250000     105718.797     +041930.00
W_010404     165.6273580       4.3250000     110230.566     +041930.00
W_010405     166.9263970       4.3250000     110742.335     +041930.00
W_010406     168.2254350       4.3250000     111254.104     +041930.00
W_010407     169.5244730       4.3250000     111805.874     +041930.00
W_010408     170.8235110       4.3250000     112317.643     +041930.00
W_010409     172.1225490       4.3250000     112829.412     +041930.00
W_010410     173.4215870       4.3250000     113341.181     +041930.00
W_010411     174.7206250       4.3250000     113852.950     +041930.00
W_010412     176.0196630       4.3250000     114404.719     +041930.00
W_010413     177.3187010       4.3250000     114916.488     +041930.00
W_010414     178.6177400       4.3250000     115428.258     +041930.00
W_010415     179.9167780       4.3250000     115940.027     +041930.00
W_010416     181.2158160       4.3250000     120451.796     +041930.00
W_010417     182.5148540       4.3250000     121003.565     +041930.00
W_010418     183.8138920       4.3250000     121515.334     +041930.00
W_010419     185.1129300       4.3250000     122027.103     +041930.00
W_010420     186.4119680       4.3250000     122538.872     +041930.00
W_010421     187.7110060       4.3250000     123050.641     +041930.00
W_010422     189.0100440       4.3250000     123602.411     +041930.00
W_010423     190.3090820       4.3250000     124114.180     +041930.00
W_010424     191.6081210       4.3250000     124625.949     +041930.00
W_010425     192.9071590       4.3250000     125137.718     +041930.00
W_010426     194.2061970       4.3250000     125649.487     +041930.00
W_010427     195.5052350       4.3250000     130201.256     +041930.00
W_010428     196.8042730       4.3250000     130713.026     +041930.00
W_010429     198.1033110       4.3250000     131224.795     +041930.00
W_010430     199.4023490       4.3250000     131736.564     +041930.00
W_010431     200.7013870       4.3250000     132248.333     +041930.00
W_010432     202.0004250       4.3250000     132800.102     +041930.00
W_010433     203.2994640       4.3250000     133311.871     +041930.00
W_010434     204.5985020       4.3250000     133823.640     +041930.00
W_010435     205.8975400       4.3250000     134335.410     +041930.00
W_010436     207.1965780       4.3250000     134847.179     +041930.00
W_010437     208.4956160       4.3250000     135358.948     +041930.00
W_010438     209.7946540       4.3250000     135910.717     +041930.00
W_010439     211.0936920       4.3250000     140422.486     +041930.00
W_010440     212.3927300       4.3250000     140934.255     +041930.00
W_010441     213.6917680       4.3250000     141446.024     +041930.00
W_010442     214.9908060       4.3250000     141957.793     +041930.00
W_010443     216.2898450       4.3250000     142509.563     +041930.00
W_010444     217.5888830       4.3250000     143021.332     +041930.00
W_010445     218.8879210       4.3250000     143533.101     +041930.00
W_010446     220.1869590       4.3250000     144044.870     +041930.00
W_010447     221.4859970       4.3250000     144556.639     +041930.00
W_010448     222.7850350       4.3250000     145108.408     +041930.00
W_010449     224.0840730       4.3250000     145620.178     +041930.00
W_010450     225.3831110       4.3250000     150131.947     +041930.00
W_020001      29.9784000      -6.0250000     015954.816     -060130.00
W_020002      31.2774000      -6.0250000     020506.576     -060130.00
W_020003      32.5764000      -6.0250000     021018.336     -060130.00
W_020004      33.8755000      -6.0250000     021530.120     -060130.00
W_020005      35.1745000      -6.0250000     022041.880     -060130.00
W_020006      36.4735000      -6.0250000     022553.640     -060130.00
W_020007      37.7726000      -6.0250000     023105.424     -060130.00
W_020008      39.0716000      -6.0250000     023617.184     -060130.00
W_020009      29.3289000      -4.9000000     015718.936     -045400.00
W_020010      30.6279000      -4.9000000     020230.696     -045400.00
W_020011      31.9269000      -4.9000000     020742.456     -045400.00
W_020012      33.2260000      -4.9000000     021254.240     -045400.00
W_020013      34.5250000      -4.9000000     021806.000     -045400.00
W_020014      35.8240000      -4.9000000     022317.760     -045400.00
W_020015      37.1231000      -4.9000000     022829.544     -045400.00
W_020016      38.4221000      -4.9000000     023341.304     -045400.00
W_020017      29.9784000      -3.7750000     015954.816     -034630.00
W_020018      31.2774000      -3.7750000     020506.576     -034630.00
W_020019      32.5764000      -3.7750000     021018.336     -034630.00
W_020020      33.8755000      -3.7750000     021530.120     -034630.00
W_020021      35.1745000      -3.7750000     022041.880     -034630.00
W_020022      36.4735000      -3.7750000     022553.640     -034630.00
W_020023      37.7726000      -3.7750000     023105.424     -034630.00
W_020024      39.0716000      -3.7750000     023617.184     -034630.00
W_020025      29.3289000      -2.6500000     015718.936     -023900.00
W_020026      30.6279000      -2.6500000     020230.696     -023900.00
W_020027      31.9269000      -2.6500000     020742.456     -023900.00
W_020028      33.2260000      -2.6500000     021254.240     -023900.00
W_020029      34.5250000      -2.6500000     021806.000     -023900.00
W_020030      35.8240000      -2.6500000     022317.760     -023900.00
W_020031      37.1231000      -2.6500000     022829.544     -023900.00
W_020032      38.4221000      -2.6500000     023341.304     -023900.00
W_020033      29.9784000      -1.5250000     015954.816     -013130.00
W_020034      31.2774000      -1.5250000     020506.576     -013130.00
W_020035      32.5764000      -1.5250000     021018.336     -013130.00
W_020036      33.8755000      -1.5250000     021530.120     -013130.00
W_020037      35.1745000      -1.5250000     022041.880     -013130.00
W_020038      36.4735000      -1.5250000     022553.640     -013130.00
W_020039      37.7726000      -1.5250000     023105.424     -013130.00
